"","Country","Region","district","Product","date","Open","High","Low","Close","Currency"
"","Somalia","Hiraan","Buloburto","maize","2019-08-01","10679.25","11790.2","9568.3","10584.69","SOS"
"","Somalia","Hiraan","Buloburto","maize","2019-09-01","10727.39","11870.42","9584.37","10777.21","SOS"
"","Somalia","Hiraan","Buloburto","maize","2019-10-01","10932.92","12120.59","9745.25","10156.53","SOS"
"","Somalia","Hiraan","Buloburto","maize","2019-11-01","9969.95","11036","8903.9","10079.31","SOS"
"","Somalia","Hiraan","Buloburto","maize","2019-12-01","10179.83","11266.03","9093.63","10210.16","SOS"
"","Somalia","Hiraan","Buloburto","maize","2020-01-01","10350.33","11467.49","9233.16","9659.51","SOS"
"","Somalia","Hiraan","Buloburto","maize","2020-02-01","9491.72","10500.66","8482.77","10380.8","SOS"
"","Somalia","Hiraan","Buloburto","maize","2020-03-01","10919.18","11908.21","9930.14","10909.4","SOS"
"","Somalia","Hiraan","Buloburto","maize","2020-04-01","11185.1","12280.84","10089.35","11044.82","SOS"
"","Somalia","Hiraan","Buloburto","maize","2020-05-01","11243.82","12382","10105.64","12033.98","SOS"
"","Somalia","Hiraan","Buloburto","maize","2020-06-01","12660.9","13837.93","11483.87","12444.51","SOS"
"","Somalia","Hiraan","Buloburto","maize","2020-07-01","12699.11","13951.8","11446.42","12415.7","SOS"
"","Somalia","Hiraan","Buloburto","maize","2020-08-01","12534.09","13799.74","11268.43","12265.26","SOS"
"","Somalia","Hiraan","Buloburto","maize","2020-09-01","12298.28","13557.21","11039.35","10852.33","SOS"
"","Somalia","Hiraan","Buloburto","maize","2020-10-01","10339.86","11241.57","9438.16","10761.53","SOS"
"","Somalia","Hiraan","Buloburto","maize","2020-11-01","10918.95","11869.97","9967.94","12370.36","SOS"
"","Somalia","Hiraan","Buloburto","maize","2020-12-01","13352.23","14106.04","12598.42","12473.49","SOS"
"","Somalia","Hiraan","Buloburto","maize","2021-01-01","12524.26","13360.87","11687.64","11750.91","SOS"
"","Somalia","Hiraan","Buloburto","maize","2021-02-01","11587.33","12436.47","10738.19","12236.99","SOS"
"","Somalia","Hiraan","Buloburto","maize","2021-03-01","12623.64","13561.32","11685.95","12458.7","SOS"
"","Somalia","Hiraan","Buloburto","maize","2021-04-01","12633.9","13682.36","11585.44","12887.56","SOS"
"","Somalia","Hiraan","Buloburto","maize","2021-05-01","13253.74","14394.28","12113.19","13420.92","SOS"
"","Somalia","Hiraan","Buloburto","maize","2021-06-01","13773.07","15004.73","12541.4","14042.21","SOS"
"","Somalia","Hiraan","Buloburto","maize","2021-07-01","14491.91","15806.79","13177.03","14405.78","SOS"
"","Somalia","Hiraan","Buloburto","maize","2021-08-01","14679.13","16053.85","13304.41","14957.61","SOS"
"","Somalia","Hiraan","Buloburto","maize","2021-09-01","15391.31","16828.9","13953.72","14438.46","SOS"
"","Somalia","Hiraan","Buloburto","maize","2021-10-01","14270.25","15585.82","12954.68","14920.45","SOS"
"","Somalia","Hiraan","Buloburto","maize","2021-11-01","15397.75","16749.42","14046.08","15038.8","SOS"
"","Somalia","Hiraan","Buloburto","maize","2021-12-01","15137.62","16523.35","13751.89","16393.6","SOS"
"","Somalia","Hiraan","Buloburto","maize","2022-01-01","17362.65","18722.71","16002.59","15936.97","SOS"
"","Somalia","Hiraan","Buloburto","maize","2022-02-01","15688.34","16881.42","14495.25","16493.54","SOS"
"","Somalia","Hiraan","Buloburto","maize","2022-03-01","17108.25","18390.9","15825.61","16776.28","SOS"
"","Somalia","Hiraan","Buloburto","maize","2022-04-01","16910.2","18299.85","15520.56","16795.08","SOS"
"","Somalia","Hiraan","Buloburto","maize","2022-05-01","17055.5","18507.42","15603.59","16930.7","SOS"
"","Somalia","Hiraan","Buloburto","maize","2022-06-01","17094.63","18597.02","15592.24","17226.02","SOS"
"","Somalia","Hiraan","Buloburto","maize","2022-07-01","17574.82","19128.94","16020.69","18477.94","SOS"
"","Somalia","Hiraan","Buloburto","maize","2022-08-01","19278.32","20886.33","17670.3","18763.39","SOS"
"","Somalia","Hiraan","Buloburto","milk","2017-01-01","31589.18","32596.75","30581.6","32610.68","SOS"
"","Somalia","Hiraan","Buloburto","milk","2017-02-01","32999.17","33946.06","32052.28","31656.52","SOS"
"","Somalia","Hiraan","Buloburto","milk","2017-03-01","31218.64","31961.47","30475.82","32468.01","SOS"
"","Somalia","Hiraan","Buloburto","milk","2017-04-01","32946.44","33581.85","32311.04","32735.46","SOS"
"","Somalia","Hiraan","Buloburto","milk","2017-05-01","32911.58","33761.52","32061.64","31786.96","SOS"
"","Somalia","Hiraan","Buloburto","milk","2017-06-01","31354.2","32098.43","30609.96","31090.78","SOS"
"","Somalia","Hiraan","Buloburto","milk","2017-07-01","30765.36","31627.94","29902.78","31248.2","SOS"
"","Somalia","Hiraan","Buloburto","milk","2017-08-01","31349.89","32270.9","30428.88","32046.77","SOS"
"","Somalia","Hiraan","Buloburto","milk","2017-09-01","32528.43","33472.57","31584.28","32513.01","SOS"
"","Somalia","Hiraan","Buloburto","milk","2017-10-01","32806.72","33838.1","31775.34","34052.32","SOS"
"","Somalia","Hiraan","Buloburto","milk","2017-11-01","34969.16","35867.77","34070.56","34889.97","SOS"
"","Somalia","Hiraan","Buloburto","milk","2017-12-01","35401.81","36442.71","34360.91","34728.63","SOS"
"","Somalia","Hiraan","Buloburto","milk","2018-01-01","34663.55","35712.36","33614.75","33818.03","SOS"
"","Somalia","Hiraan","Buloburto","milk","2018-02-01","33407.97","34403.04","32412.91","34648.41","SOS"
"","Somalia","Hiraan","Buloburto","milk","2018-03-01","35141.89","36009.11","34274.67","35169.53","SOS"
"","Somalia","Hiraan","Buloburto","milk","2018-04-01","35494.32","36507.91","34480.72","36200.1","SOS"
"","Somalia","Hiraan","Buloburto","milk","2018-05-01","36820.33","37875.41","35765.24","37723.01","SOS"
"","Somalia","Hiraan","Buloburto","milk","2018-06-01","38631.88","39699.9","37563.85","37877.34","SOS"
"","Somalia","Hiraan","Buloburto","milk","2018-07-01","37996.42","39086.85","36905.99","37498.94","SOS"
"","Somalia","Hiraan","Buloburto","milk","2018-08-01","37340.29","38469.19","36211.38","38723.26","SOS"
"","Somalia","Hiraan","Buloburto","milk","2018-09-01","39456.2","40428.27","38484.12","39390.84","SOS"
"","Somalia","Hiraan","Buloburto","milk","2018-10-01","39806.62","40931.45","38681.78","39548.23","SOS"
"","Somalia","Hiraan","Buloburto","milk","2018-11-01","39667.93","40868.26","38467.6","36856.97","SOS"
"","Somalia","Hiraan","Buloburto","milk","2018-12-01","35626.07","36347.87","34904.27","34207.98","SOS"
"","Somalia","Hiraan","Buloburto","milk","2019-01-01","32967.84","33543.9","32391.78","31062.8","SOS"
"","Somalia","Hiraan","Buloburto","milk","2019-02-01","29606.92","30424.02","28789.81","28326.98","SOS"
"","Somalia","Hiraan","Buloburto","milk","2019-03-01","27047.08","27736.83","26357.32","28546.58","SOS"
"","Somalia","Hiraan","Buloburto","milk","2019-04-01","28652.34","29480.54","27824.14","29337.94","SOS"
"","Somalia","Hiraan","Buloburto","milk","2019-05-01","29803.5","30389.94","29217.07","32839.74","SOS"
"","Somalia","Hiraan","Buloburto","milk","2019-06-01","34829.74","36439.78","33219.7","32953.7","SOS"
"","Somalia","Hiraan","Buloburto","milk","2019-07-01","33055.15","34594.87","31515.43","33922.92","SOS"
"","Somalia","Hiraan","Buloburto","milk","2019-08-01","34512.44","35765.55","33259.34","35362.13","SOS"
"","Somalia","Hiraan","Buloburto","milk","2019-09-01","36222.88","37221.24","35224.52","35037.52","SOS"
"","Somalia","Hiraan","Buloburto","milk","2019-10-01","34903.16","35705.97","34100.36","33673.16","SOS"
"","Somalia","Hiraan","Buloburto","milk","2019-11-01","33045.48","33666.56","32424.4","32703.21","SOS"
"","Somalia","Hiraan","Buloburto","milk","2019-12-01","32244.02","32603.1","31884.95","30068.22","SOS"
"","Somalia","Hiraan","Buloburto","milk","2020-01-01","28853.2","29667.91","28038.48","28518.17","SOS"
"","Somalia","Hiraan","Buloburto","milk","2020-02-01","27771.67","28064.65","27478.69","28698.27","SOS"
"","Somalia","Hiraan","Buloburto","milk","2020-03-01","28794.95","29014.69","28575.21","30366.27","SOS"
"","Somalia","Hiraan","Buloburto","milk","2020-04-01","31351.72","31917.32","30786.13","31905.15","SOS"
"","Somalia","Hiraan","Buloburto","milk","2020-05-01","32823.09","33181.07","32465.1","32369.95","SOS"
"","Somalia","Hiraan","Buloburto","milk","2020-06-01","32666.69","33376.9","31956.48","31993.4","SOS"
"","Somalia","Hiraan","Buloburto","milk","2020-07-01","31832.26","32661.78","31002.73","31853.05","SOS"
"","Somalia","Hiraan","Buloburto","milk","2020-08-01","31792.29","32767.11","30817.47","31151.51","SOS"
"","Somalia","Hiraan","Buloburto","milk","2020-09-01","30837.92","31831.46","29844.38","30467.49","SOS"
"","Somalia","Hiraan","Buloburto","milk","2020-10-01","30151.61","31187.66","29115.56","29268.77","SOS"
"","Somalia","Hiraan","Buloburto","milk","2020-11-01","28707.3","29662.77","27751.83","30472.24","SOS"
"","Somalia","Hiraan","Buloburto","milk","2020-12-01","31171.03","31645","30697.07","30064.7","SOS"
"","Somalia","Hiraan","Buloburto","milk","2021-01-01","29883.38","30421.92","29344.83","29587.37","SOS"
"","Somalia","Hiraan","Buloburto","milk","2021-02-01","29371.68","30148.2","28595.15","29793.85","SOS"
"","Somalia","Hiraan","Buloburto","milk","2021-03-01","29928.89","30822.9","29034.88","30332.56","SOS"
"","Somalia","Hiraan","Buloburto","milk","2021-04-01","30664.93","31649.44","29680.42","33402.45","SOS"
"","Somalia","Hiraan","Buloburto","milk","2021-05-01","35264.7","36333.23","34196.17","33519.1","SOS"
"","Somalia","Hiraan","Buloburto","milk","2021-06-01","33621.91","34646.75","32597.06","34087.49","SOS"
"","Somalia","Hiraan","Buloburto","milk","2021-07-01","34446.72","34957.23","33936.2","34583.75","SOS"
"","Somalia","Hiraan","Buloburto","milk","2021-08-01","34898.39","35485.31","34311.47","35454.42","SOS"
"","Somalia","Hiraan","Buloburto","milk","2021-09-01","35983.37","36836.8","35129.94","35564.28","SOS"
"","Somalia","Hiraan","Buloburto","milk","2021-10-01","35653","36676.17","34629.84","35895.94","SOS"
"","Somalia","Hiraan","Buloburto","milk","2021-11-01","36117.57","37273.52","34961.61","36889.23","SOS"
